point 4,,point 5,,point 8,,point 9,,point 4 mesure,,point 5 mesure,,point 8 mesure,,point 9 mesure,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,-0.07172869147659178,0.028775006851192275,-0.0009395920604440278,0.03521126760563398,0.028169014084507005,-0.06126862085535745,-0.025949062950504143,0,0.03541416566626587,0.028872881024155417,-0.03867987315506838,0.05648474178403795,0.11267605633802802,-0.030434086176516217,0.0006407176037175333
1.3970588235294117,-0.07593037214886067,1.4710488196374736,-0.1417218024507676,1.202024647887324,0.05633802816901401,1.2510011212558076,-0.011212558065032852,0.7457983193277311,-0.05732292917166948,0.7761421915984807,-0.18572603061503656,0.5868544600938979,-0.05633802816901401,0.625901009130228,-0.004805382027869953
1.6386554621848743,1.1314525810324128,1.7480327291234383,1.0532826997611906,1.642458920187794,0.6197183098591545,1.5309146243793048,0.7409899086977418,1.4180672268907566,0.03061224489795844,1.335982460948205,-0.060133891868609624,0.9102112676056358,0.028169014084507005,1.1152490789684464,0.010251481659459216
3.6029411764705888,1.0753301320528212,1.7480327291234383,1.0532826997611906,3.44424882629108,0.5633802816901405,3.3441454428960444,0.6942175236264614,1.5441176470588238,0.705582232893156,1.5945660259170804,0.23004345613280108,1.348444835680752,0.16901408450704247,1.3523145923434239,0.1713919589940751
3.855042016806723,-4.431872749099642,3.4806992130916488,0.9370864816192359,3.626173708920188,-2.5070422535211265,3.485103315713598,-2.3270863366971017,1.664915966386555,1.3449879951980783,1.7377559409622991,1.01601221469679,1.59037558685446,0.6197183098591545,1.5084895082492409,0.8428640076886111
4.149159663865547,-0.19027611044417814,3.67869866499628,-3.4115021728066353,3.750880281690142,-2.5633802816901414,3.623258049014897,-1.1689892679801375,1.9117647058823528,1.4272208883553414,1.7992209215832125,1.3151156872724492,1.7879988262910818,0.5633802816901405,1.8228415825724813,0.7243312510011215
5.021008403361345,-0.17947178871548708,3.9899385350193786,-3.4255960537133383,3.9722711267605657,-0.05633802816901401,3.9772545250680764,-1.1580970687169625,2.2478991596638656,1.3640456182472978,1.945151313471401,1.0443565751869457,1.9854753521126778,0.4788732394366195,2.4082972929681237,0.5884991190132958
,,4.168852523196179,-0.41482989468738296,4.971977699530516,-0.11267605633802846,4.1566554541086,0.026910139356079554,2.5630252100840334,1.212184873949579,2.2356418588262925,1.0312022863406867,2.413292253521128,0.6197183098591545,2.8776229376902123,0.5516578567996167
,,4.998825509924441,-0.4524135771052684,,,4.939131827646962,-0.05157776709915218,2.8886554621848743,1.1314525810324128,2.6813608425008804,1.1619621814195717,2.964642018779344,0.4788732394366195,3.2644561909338456,0.46099631587377843
,,,,,,,,3.2142857142857144,1.1221488595438176,3.117781779743961,0.8780487804878128,3.390258215962442,0.19718309859154948,3.382588499119013,0.23386192535639871
,,,,,,,,3.476890756302521,0.7932172869147651,3.4297067689778027,0.5997729319187322,3.463028169014084,0.16901408450704247,3.424635591862886,-0.45715201025148033
,,,,,,,,3.65546218487395,0.3595438175270109,3.5864033198919465,0.1775828994245039,3.543573943661972,-0.36619718309859195,3.4682844786160487,-1.2506807624539498
,,,,,,,,3.7394957983193278,-0.6428571428571441,3.650413029009904,-0.5045609364600807,3.599911971830986,-1.5492957746478875,3.5151369533877936,-1.5825724811789215
,,,,,,,,3.79201680672269,-2.9300720288115256,3.7064949301178407,-2.129742003680061,3.6374706572769977,-2.3380281690140845,3.558785840140958,-1.7094345667147213
,,,,,,,,3.8392857142857144,-4.056422569027613,3.793602944055123,-3.7185921778960953,3.678843896713616,-2.3943661971830985,3.6204549094986387,-1.322921672272944
,,,,,,,,3.9338235294117645,-4.219837935174071,3.945405786321105,-2.253768155659081,3.7160357981220677,-2.2535211267605635,3.709354477014257,-0.6791606599391304
,,,,,,,,4.033613445378152,-4.0084033613445404,4.067846376698117,-1.466859805034641,3.906396713615024,-0.7042253521126765,3.8495114528271657,-0.9825404452987367
,,,,,,,,4.075630252100841,-1.902460984393758,4.21935559644521,0.1111850604862461,4.00425469483568,0.08450704225352101,4.08257248117892,-0.5651129264776547
,,,,,,,,4.149159663865547,0.2025810324129651,4.270641663077946,0.3352777669028768,4.046361502347418,0.16901408450704247,4.165465321159697,0.1297453147525225
,,,,,,,,4.233193277310924,1.8073229291716686,4.386035313001605,-0.160513643659705,4.128961267605636,0.028169014084507005,4.237546051577766,0.18324523466282194
,,,,,,,,4.285714285714286,1.3058223289315718,4.5855028775006845,-1.075206514504945,4.387910798122066,-0.2535211267605635,4.380906615409257,-0.3251641838859527
,,,,,,,,4.401260504201682,0.05252100840336027,4.762753004737109,-1.4228555768703686,4.70099765258216,-0.14084507042253547,4.507448342143199,-0.42383469485824143
,,,,,,,,4.516806722689076,-0.5936374549819936,4.969952628900286,-1.3190306541909678,5.024941314553992,0.05633802816901401,4.908297292968124,-0.07816754765337208
,,,,,,,,4.726890756302521,-0.8496398559423772,,,,,,
,,,,,,,,5.010504201680673,-0.8934573829531818,,,,,,
