3a,,9a,,18a,
X,Y,X,Y,X,Y
-5.972299168975068,0.004694835680751019,-5.927977839335179,0.014084507042253502,-5.905817174515235,0.009389671361502483
-4.3324099722991685,0.014084507042253502,-4.299168975069251,0.018779342723004966,-3.9778393351800547,0
-3.3351800554016613,-0.03286384976525847,-3.0914127423822713,-0.04694835680751197,-2.958448753462603,-0.056338028169013565
-2.781163434903047,-0.1737089201877935,-2.2936288088642653,-0.3661971830985906,-2.2493074792243766,-0.17840375586854496
-2.470914127423822,-0.352112676056338,-2.02770083102493,-0.46948356807511793,-1.8060941828254844,-0.28169014084507005
-2.138504155124653,-0.492957746478873,-1.850415512465374,-0.47417840375586895,-1.5401662049861482,-0.2910798122065734
-2.0055401662049848,-0.5023474178403755,-1.5290858725761787,-0.25821596244131406,-1.229916897506926,-0.18309859154929597
-1.7396121883656503,-0.352112676056338,-1.2963988919667573,0.15492957746478897,-0.9972299168975054,0.05164319248826299
-1.4515235457063707,0.11737089201877904,-1.0747922437673143,0.68075117370892,-0.7202216066481979,0.427230046948357
-1.0747922437673125,1.0187793427230047,-0.853185595567866,1.1971830985915493,-0.5872576177285289,0.6431924882629108
-0.6980609418282535,1.6854460093896715,-0.6204986149584473,1.6103286384976525,-0.40997229916897204,0.8873239436619718
-0.609418282548476,1.7417840375586855,-0.47645429362880876,1.6901408450704225,-0.25484764542936134,1.0657276995305165
-0.45429362880886437,1.6948356807511737,-0.3102493074792232,1.5868544600938967,-0.07756232686980624,1.1549295774647887
-0.2991689750692519,1.3943661971830987,-0.13296398891966632,1.2863849765258217,0.09972299168975063,1.0938967136150235
-0.011080332409971305,0.5586854460093897,0.022160664819946163,0.732394366197183,0.2659279778393362,0.943661971830986
0.21052631578947434,-0.3145539906103285,0.1662049861495838,0.33333333333333304,0.45429362880886437,0.5774647887323945
0.3213296398891963,-0.774647887323944,0.28808864265928236,-0.18309859154929597,0.6094182825484751,0.27699530516431947
0.5429362880886437,-1.3474178403755865,0.4432132963988895,-0.704225352112676,0.7313019390581701,-0.03286384976525847
0.7202216066482006,-1.647887323943662,0.6426592797783925,-1.2535211267605635,0.8864265927977826,-0.323943661971831
0.7867036011080337,-1.694835680751174,0.8199445983379494,-1.563380281690141,1.0304709141274202,-0.652582159624413
0.8310249307479225,-1.704225352112676,0.9418282548476444,-1.643192488262911,1.1301939058171762,-0.84037558685446
0.875346260387813,-1.685446009389671,1.1523545706371223,-1.47887323943662,1.285318559556785,-0.9906103286384975
1.05263157894737,-1.582159624413145,1.373961218836568,-1.084507042253521,1.4626038781163455,-1.075117370892019
1.3185595567867026,-0.9906103286384975,1.673130193905818,-0.427230046948357,1.662049861495845,-1.028169014084507
1.551246537396123,-0.39906103286384953,1.9833795013850413,0.13145539906103298,1.8171745152354575,-0.887323943661972
1.9612188365650969,0.3192488262910791,2.1828254847645443,0.3708920187793425,2.049861495844878,-0.615023474178404
2.2936288088642662,0.49765258215962405,2.459833795013852,0.483568075117371,2.227146814404435,-0.37089201877934297
2.7368421052631593,0.3615023474178405,2.770083102493075,0.39436619718309807,2.426592797783936,-0.12676056338028152
3.1689750692520775,0.15023474178403706,3.257617728531857,0.16901408450704247,2.6592797783933495,0.11737089201877904
4.132963988919668,0.01877934272300541,3.56786703601108,0.07511737089201853,2.8808864265927987,0.25821596244131495
5.240997229916896,0.014084507042253502,4,0.023474178403755985,3.157894736842106,0.31455399061032807
5.950138504155124,0.004694835680751019,5.950138504155124,0.009389671361502039,3.5235457063711895,0.24882629107981247
,,,,3.878116343490305,0.15492957746478853
,,,,4.243767313019388,0.07042253521126796
,,,,4.664819944598339,0.028169014084507893
,,,,5.240997229916896,0.014084507042253058
,,,,5.916897506925208,0.009389671361502039
