point 1,,point 2,,point 3,,point 6,,point 10,,point 7,,point 1 mesure,,point 2 mesure,,point 3 mesure,,point 6 mesure,,point 10 mesure,,point 7 mesure,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.005568913089597949,0.017537656459938766,0.02147751382560603,-0.06970192341136183,0.022212425393380197,0.10309278350515072,0.022211165997369164,0.035395714133409584,0.010121457489878694,-0.03418803418803407,0.03400042280318427,0.10555986188429145,0.02662548211317972,0.026374343391968758,0.06663890066196898,-0.003607814655353536,0.06634602550416879,0.0011962529455544768,0.0606110144412213,0.043350137707593994,0.011996346600484209,-0.024466275430238937,0.025456041699637666,0.0330410578019773
1.5126670673926876,0.0038186832614375277,1.4514277764251677,-0.0895968835866583,1.3416474498100919,0.10119370591426957,1.6692135470343645,0.11827001670279724,1.5080971659919022,-0.027405792587977373,1.3693538157987453,0.10795574659995921,0.7202000525564913,-0.009967123730092453,0.7649979019236517,-0.013324113803342641,0.536890875526985,-0.011673349790111587,0.5626114536585565,-0.10369103571987281,0.5988282320259728,-0.008416172580997028,0.5542648732330964,-0.044585664438930195
1.782715154515239,2.5578106215967735,1.6764634273590484,1.9246634899655675,1.5589392295170916,1.9072164948453576,1.7948399019154921,1.1430399090230647,1.761133603238866,1.2786601612512527,1.624092734831934,0.8519484180114176,1.347148599942691,-0.09327294836374111,1.450065739256482,-0.06868868630697733,1.006765433740652,-0.15967378125027665,1.0650801768677,-0.15745003797934043,1.5190873250795818,0.061803027384446096,1.0315392181114076,0.15375246798520692
3.7262216250618767,2.4102963015345433,3.296407081492818,1.9021251434732704,3.235807786218123,1.9639175257731942,3.5910124737908253,0.940616226589432,3.5020242914979747,1.1553340946053474,3.501867380734267,0.9046578817560444,1.573671254383808,0.07100911967778067,1.5435622027559954,0.434175626201192,1.256002271442671,0.013708366716347342,1.6617910534280442,0.11396736367212235,1.6391211198257043,0.6507323694322835,1.3755667371336147,0.163409380799866
3.9156088678311294,-3.281380383282656,3.5161385690932496,-2.2052798163542136,3.301851600651112,-2.7216494845360835,3.7030455950815613,-2.7423860122961017,3.6842105263157894,-3.8653240596560394,3.6843774223099155,-4.739341836375164,1.7126307745011766,0.924567680801065,1.6658179951015597,1.8991368807592508,1.3749790675666738,0.28075262348142616,1.8795431096184005,1.323638571308523,1.7991661794871998,1.3759051981663113,1.517054438107997,0.6759685994240492
4.239489781486458,-3.276854536454284,3.986122221835762,-2.2118187193488907,3.363147721106891,-4.364351600651116,3.7866484238956604,-4.088702512527096,3.8157894736842106,-3.3147167722066513,3.826544993305615,-4.419561694031426,1.7843527564896673,2.2145033971361743,1.758626984604753,2.127011594739436,1.4986479063547216,1.4937126813180264,2.1826399233156204,1.0861249306639031,2.3059755350819415,1.2996672096323998,1.7623075243745037,0.775323375497937
4.360193762817339,-2.6812813803832842,4.127682515390769,-1.5877012973461788,3.4987961204557783,-1.017634291915357,3.8915739720672358,-1.1875333167489952,3.876518218623481,-1.261773763798054,3.909520118384891,0.10908322176027596,1.9038020338411858,2.6765059458315057,2.0079508872701215,1.7110439953661114,1.5675762473955759,2.212622989690967,2.7114496210639194,1.0086707584189902,2.946155773727929,1.1369775307514303,2.2532779715620643,1.0665164388322488
4.467771020437026,0.2896541970157678,4.211244826266912,-0.16277694688880473,4.342444384156266,-0.9381443298969074,4.443743558761859,-1.1953516471800691,4.261133603238866,-1.3196304370393435,5.0040518638573745,0.13980691987880434,2.0909256458014145,2.3568874016554293,2.377009844294548,1.7517424559482535,1.6211995921275206,2.481454691280451,3.385310285274504,0.8358739654421274,3.359605511186796,1.013136396266919,2.6366527675574583,1.0079249774279262
4.994033307404002,0.3319425783183636,4.991391603770303,-0.10406594553232651,4.594326505697232,-0.15870862723820167,4.599665944063399,-0.13561249511354223,4.463562753036436,-0.11751271670300056,,,2.6247491836873325,2.0881469114502385,2.9955072829837297,1.422304916911731,1.93333214458805,2.1575696890994998,3.635725149893413,0.6457506647683973,3.5329876591534184,0.8376795901194996,3.3236631876291343,0.819150902887543
